K00001	E1.1.1.1, adh	alcohol dehydrogenase [EC:
K05555	actIV	cyclase [EC:4.-.-.-]
K05556	actVI1, RED1	ketoreductase RED1 [EC:1.1.1.-]
K05557	actVA1	MFS transporter, DHA2 family, integral membrane protein
K05558	K05558	pyridoxamine 5'-phosphate oxidase family protein
K05559	phaA	multicomponent K+:H+ antiporter subunit A
K05560	phaC	multicomponent K+:H+ antiporter subunit C
K05561	phaD	multicomponent K+:H+ antiporter subunit D
K05562	phaE	multicomponent K+:H+ antiporter subunit E
K05563	phaF	multicomponent K+:H+ antiporter subunit F
K05564	phaG	multicomponent K+:H+ antiporter subunit G
K05565	mnhA, mrpA	multicomponent Na+:H+ antiporter subunit A
K05566	mnhB, mrpB	multicomponent Na+:H+ antiporter subunit B
K05567	mnhC, mrpC	multicomponent Na+:H+ antiporter subunit C
K05568	mnhD, mrpD	multicomponent Na+:H+ antiporter subunit D
K05569	mnhE, mrpE	multicomponent Na+:H+ antiporter subunit E
K05570	mnhF, mrpF	multicomponent Na+:H+ antiporter subunit F
K05571	mnhG, mrpG	multicomponent Na+:H+ antiporter subunit G
K05572	ndhA	NAD(P)H-quinone oxidoreductase subunit 1 [EC:
K05573	ndhB	NAD(P)H-quinone oxidoreductase subunit 2 [EC:
K05574	ndhC	NAD(P)H-quinone oxidoreductase subunit 3 [EC:
K05575	ndhD	NAD(P)H-quinone oxidoreductase subunit 4 [EC:
K05576	ndhE	NAD(P)H-quinone oxidoreductase subunit 4L [EC:
K05577	ndhF	NAD(P)H-quinone oxidoreductase subunit 5 [EC:
K05578	ndhG	NAD(P)H-quinone oxidoreductase subunit 6 [EC:
K05579	ndhH	NAD(P)H-quinone oxidoreductase subunit H [EC:
K05580	ndhI	NAD(P)H-quinone oxidoreductase subunit I [EC:
K05581	ndhJ	NAD(P)H-quinone oxidoreductase subunit J [EC:
K05582	ndhK	NAD(P)H-quinone oxidoreductase subunit K [EC:
K05583	ndhL	NAD(P)H-quinone oxidoreductase subunit L [EC:
K05584	ndhM	NAD(P)H-quinone oxidoreductase subunit M [EC:
K05585	ndhN	NAD(P)H-quinone oxidoreductase subunit N [EC:
K05586	hoxE	bidirectional [NiFe] hydrogenase diaphorase subunit [EC:
K05587	hoxF	bidirectional [NiFe] hydrogenase diaphorase subunit [EC:
K05588	hoxU	bidirectional [NiFe] hydrogenase diaphorase subunit [EC:
K05589	ftsB	cell division protein FtsB
K05590	srmB	ATP-dependent RNA helicase SrmB [EC:
K05591	dbpA	ATP-independent RNA helicase DbpA [EC:
K05592	deaD, cshA	ATP-dependent RNA helicase DeaD [EC:
K05593	aadK	aminoglycoside 6-adenylyltransferase [EC:2.7.7.-]
K05594	elaB	ElaB protein
K05595	marC	multiple antibiotic resistance protein
K05596	iciA	LysR family transcriptional regulator, chromosome initiation inhibitor
K05597	aspQ, ansB, ansA	glutamin-(asparagin-)ase [EC:
K05599	antA	anthranilate 1,2-dioxygenase (deaminating, decarboxylating) large subunit [EC:
K05600	antB	anthranilate 1,2-dioxygenase (deaminating, decarboxylating) small subunit [EC:
K05601	hcp	hydroxylamine reductase [EC:
K05602	hisN	histidinol-phosphatase [EC:
K05603	hutF	formimidoylglutamate deiminase [EC:
K05604	CNDP1	beta-Ala-His dipeptidase [EC:
K05605	HIBCH	3-hydroxyisobutyryl-CoA hydrolase [EC:
K05606	MCEE	methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:
K05607	AUH	methylglutaconyl-CoA hydratase [EC:
K05609	UCHL3	ubiquitin carboxyl-terminal hydrolase L3 [EC:
K05610	UCHL5	ubiquitin carboxyl-terminal hydrolase L5 [EC:
K05611	UCHL1	ubiquitin carboxyl-terminal hydrolase L1 [EC:
K05612	SLC1A1	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter), member 1
K05613	SLC1A2	solute carrier family 1 (glial high affinity glutamate transporter), member 2
K05614	SLC1A3	solute carrier family 1 (glial high affinity glutamate transporter), member 3
K05615	SLC1A4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4
K05616	SLC1A5	solute carrier family 1 (neutral amino acid transporter), member 5
K05617	SLC1A6	solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6
K05618	SLC1A7	solute carrier family 1 (glutamate transporter), member 7
K05619	TGM1	transglutaminase 1 [EC:
K05620	TGM3	transglutaminase 3 [EC:
K05621	TGM4	transglutaminase 4 [EC:
K05622	TGM5	transglutaminase 5 [EC:
K05623	TGM7	transglutaminase 7 [EC:
K05624	TGM6	transglutaminase 6 [EC:
K05625	TGM2	transglutaminase 2 [EC:
K05626	ATN1	atrophin-1 (dentatorubral-pallidoluysian atrophy protein)
K05627	BAIAP2	BAI1-associated protein 2
K05628	RERE	arginine-glutamic acid dipeptide repeats protein
K05629	MAGI2	atrophin-1 interacting protein 1
K05630	WWP2	atrophin-1 interacting protein 2 (WW domain containing E3 ubiquitin protein ligase 2) [EC:
K05631	MAGI1	atrophin-1 interacting protein 3 (BAI1-associated protein 1)
K05632	ITCH	atrophin-1 interacting protein 4 [EC:
K05633	WWP1	atrophin-1 interacting protein 5 (WW domain containing E3 ubiquitin protein ligase 1) [EC:
K05634	PRNP	prion protein
K05635	LAMC1	laminin, gamma 1
K05636	LAMB1	laminin, beta 1
K05637	LAMA1 	laminin, alpha 1/2
K05638	NFE2L2	nuclear factor erythroid 2-related factor 2
K05639	APLP1	amyloid-like protein 1
K05640	GFAP	glial fibrillary acidic protein
K05641	ABCA1	ATP-binding cassette, subfamily A (ABC1), member 1
K05642	ABCA2	ATP-binding cassette, subfamily A (ABC1), member 2
K05643	ABCA3	ATP-binding cassette, subfamily A (ABC1), member 3
K05644	ABCA4	ATP-binding cassette, subfamily A (ABC1), member 4
K05645	ABCA7	ATP-binding cassette, subfamily A (ABC1), member 7
K05646	ABCA12	ATP-binding cassette, subfamily A (ABC1), member 12
K05647	ABCA13	ATP binding cassette, subfamily A (ABC1), member 13
K05648	ABCA5	ATP-binding cassette, subfamily A (ABC1), member 5
K05649	ABCA6	ATP-binding cassette, subfamily A (ABC1), member 6
K05650	ABCA8	ATP-binding cassette, subfamily A (ABC1), member 8
K05651	ABCA9	ATP-binding cassette, subfamily A (ABC1), member 9
K05652	ABCA10	ATP-binding cassette, subfamily A (ABC1), member 10
K05653	TAP1	ATP-binding cassette, subfamily B (MDR/TAP), member 2
K05654	TAP2	ATP-binding cassette, subfamily B (MDR/TAP), member 3
K05655	ABCB8	ATP-binding cassette, subfamily B (MDR/TAP), member 8
K05656	ABCB9	ATP-binding cassette, subfamily B (MDR/TAP), member 9
K05657	ABCB10	ATP-binding cassette, subfamily B (MDR/TAP), member 10
K05658	ABCB1	ATP-binding cassette, subfamily B (MDR/TAP), member 1 [EC:
K05659	ABCB4	ATP-binding cassette, subfamily B (MDR/TAP), member 4 [EC:
K05660	ABCB5	ATP-binding cassette, subfamily B (MDR/TAP), member 5
K05661	ABCB6	ATP-binding cassette, subfamily B (MDR/TAP), member 6
K05662	ABCB7	ATP-binding cassette, subfamily B (MDR/TAP), member 7
K05663	ABC.ATM	mitochondrial ABC transporter ATM
K05664	ABCB11	ATP-binding cassette, subfamily B (MDR/TAP), member 11
K05665	ABCC1	ATP-binding cassette, subfamily C (CFTR/MRP), member 1
K05666	ABCC2	ATP-binding cassette, subfamily C (CFTR/MRP), member 2
K05667	ABCC3	ATP-binding cassette, subfamily C (CFTR/MRP), member 3
K05668	ABCC5	ATP-binding cassette, subfamily C (CFTR/MRP), member 5
K05669	 	ATP-binding cassette, subfamily C (CFTR/MRP), member 6
K05670	ABCC13	ATP-binding cassette, subfamily C (CFTR/MRP), member 13
K05671	ABCC11	ATP-binding cassette, subfamily C (CFTR/MRP), member 11
K05672	ABCC12	ATP-binding cassette, subfamily C (CFTR/MRP), member 12
K05673	ABCC4	ATP-binding cassette, subfamily C (CFTR/MRP), member 4
K05674	ABCC10	ATP-binding cassette, subfamily C (CFTR/MRP), member 10
K05675	ABCD1	ATP-binding cassette, subfamily D (ALD), member 1
K05676	ABCD2	ATP-binding cassette, subfamily D (ALD), member 2
K05677	ABCD3	ATP-binding cassette, subfamily D (ALD), member 3
K05678	ABCD4	ATP-binding cassette, subfamily D (ALD), member 4
K05679	ABCG1	ATP-binding cassette, subfamily G (WHITE), member 1
K05680	ABCG4	ATP-binding cassette, subfamily G (WHITE), member 4
K05681	ABCG2	ATP-binding cassette, subfamily G (WHITE), member 2
K05682	ABCG3, Mxr2, Abcp2	ATP-binding cassette, subfamily G (WHITE), member 3
K05683	ABCG5	ATP-binding cassette, subfamily G (WHITE), member 5 (sterolin 1)
K05684	ABCG8	ATP-binding cassette, subfamily G (WHITE), member 8 (sterolin 2)
K05685	macB	macrolide transport system ATP-binding/permease protein [EC:3.6.3.-]
K05687	PARK7	protein DJ-1
K05688	PINK1	PTEN induced putative kinase 1 [EC:
K05689	CDH1	cadherin 1, type 1, E-cadherin
K05690	CTNND1	catenin (cadherin-associated protein), delta 1
K05691	CTNNA1 	catenin alpha
K05692	ACTB 	actin beta/gamma 1
K05693	PTPRM	receptor-type tyrosine-protein phosphatase mu [EC:
K05694	PTPRB	receptor-type tyrosine-protein phosphatase beta [EC:
K05695	PTPRF	receptor-type tyrosine-protein phosphatase F [EC:
K05696	PTPN1	tyrosine-protein phosphatase non-receptor type 1 [EC:
K05697	PTPN6	tyrosine-protein phosphatase non-receptor type 6 [EC:
K05698	PTPRJ	receptor-type tyrosine-protein phosphatase eta [EC:
K05699	ACTN4 	actinin alpha 1/4
K05700	VCL	vinculin
K05701	TJP1	tight junction protein 1
K05702	AFDN	afadin
K05703	FYN	tyrosine-protein kinase Fyn [EC:
K05704	SRC	tyrosine-protein kinase Src [EC:
K05705	YES1	tyrosine-protein kinase Yes [EC:
K05706	SNAI2	snail 2
K05707	SNAI1	snail 1
K05708	hcaE, hcaA1	3-phenylpropionate/trans-cinnamate dioxygenase subunit alpha [EC:
K05709	hcaF, hcaA2	3-phenylpropionate/trans-cinnamate dioxygenase subunit beta [EC:
K05710	hcaC	3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin component
K05711	hcaB	2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase [EC:
K05712	mhpA	3-(3-hydroxy-phenyl)propionate hydroxylase [EC:
K05713	mhpB	2,3-dihydroxyphenylpropionate 1,2-dioxygenase [EC:
K05714	mhpC	2-hydroxy-6-oxonona-2,4-dienedioate hydrolase [EC:
K05715	2PGK	2-phosphoglycerate kinase [EC:2.7.2.-]
K05716	CPGS	cyclic 2,3-diphosphoglycerate synthetase [EC:4.6.1.-]
K05717	FN1	fibronectin 1
K05718	ITGAL	integrin alpha L
K05719	ITGB1	integrin beta 1
K05720	FGD1	FYVE, RhoGEF and PH domain containing 1
K05721	FGD2	FYVE, RhoGEF and PH domain containing 2
K05722	FGD3	FYVE, RhoGEF and PH domain containing 3
K05723	FGD4	FYVE, RhoGEF and PH domain containing 4
K05724	FGD5 	FYVE, RhoGEF and PH domain containing 5/6
K05725	PTK2	focal adhesion kinase 1 [EC:
K05726	BCAR1	breast cancer anti-estrogen resistance 1
K05727	DOCK3	dedicator of cytokinesis protein 3
K05728	CSK	c-src tyrosine kinase [EC:
K05729	ARHGEF6	Rho guanine nucleotide exchange factor 6
K05730	VAV3 	guanine nucleotide exchange factor VAV
K05731	TIAM1	T-lymphoma invasion and metastasis-inducing protein 1
K05732	ARHGAP35	glucocorticoid receptor DNA-binding factor 1
K05733	PAK3	p21-activated kinase 3 [EC:
K05734	PAK4	p21-activated kinase 4 [EC:
K05735	BUB1B-PAK6 	p21-activated kinase 6 [EC:
K05736	PAK5	p21-activated kinase 7 [EC:
K05737	GIT1	G protein-coupled receptor kinase interactor 1
K05738	MYL1	myosin light chain 1
K05739	seaA	uncharacterized protein
K05740	DIAPH1	diaphanous 1
K05741	DIAPH2	diaphanous 2
K05742	SLC9A1	solute carrier family 9 (sodium/hydrogen exchanger), member 1
K05743	LIMK1	LIM domain kinase 1 [EC:
K05744	LIMK2	LIM domain kinase 2 [EC:
K05745	DIAPH3	diaphanous 3
K05746	ENAH	enabled
K05747	WAS 	Wiskott-Aldrich syndrome protein
K05748	WASF2	WAS protein family, member 2
K05749	CYFIP1 	cytoplasmic FMR1 interacting protein
K05750	NCKAP1 	NCK-associated protein 1
K05751	ABI2	abl interactor 2
K05752	BRK1	chromosome 3 open reading frame 10
K05753	WASF1	WAS protein family, member 1
K05754	ARPC5 	actin related protein 2/3 complex, subunit 5
K05755	ARPC4	actin related protein 2/3 complex, subunit 4
K05756	ARPC3	actin related protein 2/3 complex, subunit 3
K05757	ARPC1B 	actin related protein 2/3 complex, subunit 1A/1B
K05758	ARPC2	actin related protein 2/3 complex, subunit 2
K05759	PFN3 	profilin
K05760	PXN	paxillin
K05761	VIL1	villin 1
K05762	RDX	radixin
K05763	MSN	moesin
K05764	TMSB4X 	thymosin, beta 4
K05765	CFL1 	cofilin
K05766	SSH1 	protein phosphatase slingshot [EC:
K05767	IQGAP2 	Ras GTPase-activating-like protein IQGAP2/3
K05768	GSN 	gelsolin
K05769	SPATA13 	Rho guanine nucleotide exchange factor 4/29
K05770	TSPO	benzodiazapine receptor
K05771	NR3C1	glucocorticoid receptor
K05772	tupA, vupA	tungstate transport system substrate-binding protein
K05773	tupB, vupB	tungstate transport system permease protein
K05774	phnN	ribose 1,5-bisphosphokinase [EC:
K05775	malM	maltose operon periplasmic protein
K05776	modF	molybdate transport system ATP-binding protein
K05777	ABC.VB1X.S	putative thiamine transport system substrate-binding protein
K05778	ABC.VB1X.P	putative thiamine transport system permease protein
K05779	ABC.VB1X.A	putative thiamine transport system ATP-binding protein
K05780	phnL	alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL [EC:
K05781	phnK	putative phosphonate transport system ATP-binding protein
K05782	benE	benzoate membrane transport protein
K05783	benD-xylL	dihydroxycyclohexadiene carboxylate dehydrogenase [EC:
K05784	benC-xylZ	benzoate/toluate 1,2-dioxygenase reductase component [EC:1.18.1.-]
K05785	rfaH	transcriptional antiterminator RfaH
K05786	rarD	chloramphenicol-sensitive protein RarD
K05787	hupA	DNA-binding protein HU-alpha
K05788	ihfB, himD	integration host factor subunit beta
K05789	wzzB	chain length determinant protein (polysaccharide antigen chain regulator)
K05790	wzzE	lipopolysaccharide biosynthesis protein WzzE
K05791	terZ	tellurium resistance protein TerZ
K05792	terA	tellurite resistance protein TerA
K05793	terB	tellurite resistance protein TerB
K05794	terC	tellurite resistance protein TerC
K05795	terD	tellurium resistance protein TerD
K05796	hydN	electron transport protein HydN
K05797	pchF	4-cresol dehydrogenase (hydroxylating) flavoprotein subunit [EC:
K05798	leuO	LysR family transcriptional regulator, transcriptional activator for leuABCD operon
K05799	pdhR	GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex
K05800	ybaO	Lrp/AsnC family transcriptional regulator
K05801	djlA	DnaJ like chaperone protein
K05802	kefA, bspA, aefA	potassium efflux system protein
K05803	nlpI	lipoprotein NlpI
K05804	rob	AraC family transcriptional regulator, mar-sox-rob regulon activator
K05805	creA	CreA protein
K05806	leuL	leu operon leader peptide
K05807	bamD	outer membrane protein assembly factor BamD
K05808	yhbH	putative sigma-54 modulation protein
K05809	raiA	ribosome-associated inhibitor A
K05810	LACC1	laccase domain-containing protein
K05811	yfiM	putative lipoprotein
K05812	yfiP	DTW domain-containing protein
K05813	ugpB	sn-glycerol 3-phosphate transport system substrate-binding protein
K05814	ugpA	sn-glycerol 3-phosphate transport system permease protein
K05815	ugpE	sn-glycerol 3-phosphate transport system permease protein
K05816	ugpC	sn-glycerol 3-phosphate transport system ATP-binding protein [EC:
K05817	hcaR	LysR family transcriptional regulator, hca operon transcriptional activator
K05818	mhpR	IclR family transcriptional regulator, mhp operon transcriptional activator
K05819	mhpT	MFS transporter, AAHS family, 3-hydroxyphenylpropionic acid transporter
K05820	hcaT	MFS transporter, PPP family, 3-phenylpropionic acid transporter
K05821	ARO9	aromatic amino acid aminotransferase II [EC:
K05822	dapH, dapD	tetrahydrodipicolinate N-acetyltransferase [EC:
K05823	E3.5.1.47	N-acetyldiaminopimelate deacetylase [EC:
K05824	LYS12	homoisocitrate dehydrogenase [EC:
K05825	LYSN	2-aminoadipate transaminase [EC:2.6.1.-]
K05826	lysW	alpha-aminoadipate/glutamate carrier protein LysW
K05827	lysX	[lysine-biosynthesis-protein LysW]---L-2-aminoadipate ligase [EC:
K05828	lysZ, argB	LysW-gamma-L-alpha-aminoadipate/LysW-L-glutamate kinase [EC:2.7.2.-]
K05829	lysY, argC	LysW-gamma-L-alpha-aminoadipyl-6-phosphate/LysW-L-glutamyl-5-phosphate reductase [EC:1.2.1.-]
K05830	lysJ, argD	LysW-gamma-L-lysine/LysW-L-ornithine aminotransferase [EC:2.6.1.-]
K05831	lysK, argE	LysW-gamma-L-lysine/LysW-L-ornithine carboxypeptidase
K05832	ABC.X4.P	putative ABC transport system permease protein
K05833	ABC.X4.A	putative ABC transport system ATP-binding protein
K05834	rhtB	homoserine/homoserine lactone efflux protein
K05835	rhtC	threonine efflux protein
K05836	hutC	GntR family transcriptional regulator, histidine utilization repressor
K05837	rodA, mrdB	rod shape determining protein RodA
K05838	ybbN	putative thioredoxin
K05839	hha	haemolysin expression modulating protein
K05840	DRD5	dopamine receptor D5
K05841	E2.4.1.173	sterol 3beta-glucosyltransferase [EC:
K05842	TICAM1	toll-like receptor adapter molecule 1
K05843	TGFBR3	transforming growth factor, beta receptor III
K05844	rimK	ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]
K05845	opuC	osmoprotectant transport system substrate-binding protein
K05846	opuBD	osmoprotectant transport system permease protein
K05847	opuA	osmoprotectant transport system ATP-binding protein
K05848	YPC1	phytoceramidase [EC:3.5.1.-]
K05849	SLC8A2 	solute carrier family 8 (sodium/calcium exchanger)
K05850	ATP2B1 	Ca2+ transporting ATPase, plasma membrane [EC:
K05851	cyaA	adenylate cyclase, class 1 [EC:
K05852	PLN	phospholamban
K05853	ATP2A1 	Ca2+ transporting ATPase, sarcoplasmic/endoplasmic reticulum [EC:
K05854	LYN	tyrosine-protein kinase Lyn [EC:
K05855	SYK	spleen tyrosine kinase [EC:
K05856	LCK	lymphocyte cell-specific protein tyrosine kinase [EC:
K05857	PLCD3 	phosphatidylinositol phospholipase C, delta [EC:
K05858	PLCB1 	phosphatidylinositol phospholipase C, beta [EC:
K05859	PLCG2	phosphatidylinositol phospholipase C, gamma-2 [EC:
K05860	PLCE1	phosphatidylinositol phospholipase C, epsilon [EC:
K05861	PLCZ1	phosphatidylinositol phospholipase C, zeta [EC:
K05862	VDAC1	voltage-dependent anion channel protein 1
K05863	SLC25A4 	solute carrier family 25 (mitochondrial adenine nucleotide translocator), member 4/5/6/31
K05864	PPID	peptidyl-prolyl isomerase D [EC:
K05865	TNNC1	troponin C, slow skeletal and cardiac muscles
K05866	CDC25B	M-phase inducer phosphatase 2 [EC:
K05867	CDC25C	M-phase inducer phosphatase 3 [EC:
K05868	CCNB3 	cyclin B
K05869	CAMK4	calcium/calmodulin-dependent protein kinase IV [EC:
K05870	CREB1	cyclic AMP-responsive element-binding protein 1
K05871	PTK2B	focal adhesion kinase 2 [EC:
K05872	NFKBIE	NF-kappa-B inhibitor epsilon
K05873	E4.6.1.1B, cyaB	adenylate cyclase, class 2 [EC:
K05874	tsr	methyl-accepting chemotaxis protein I, serine sensor receptor
K05875	tar	methyl-accepting chemotaxis protein II, aspartate sensor receptor
K05876	trg	methyl-accepting chemotaxis protein III, ribose and galactose sensor receptor
K05877	tap	methyl-accepting chemotaxis protein IV, peptide sensor receptor
K05878	dhaK	dihydroxyacetone kinase, N-terminal domain [EC:2.7.1.-]
K05879	dhaL	dihydroxyacetone kinase, C-terminal domain [EC:2.7.1.-]
K05880	dhaR	transcriptional activator for dhaKLM operon
K05881	dhaM	PTS hybrid protein
K05882	E1.1.1.91	aryl-alcohol dehydrogenase (NADP+) [EC:
K05884	comC	L-2-hydroxycarboxylate dehydrogenase (NAD+) [EC:
K05886	sdh	serine 3-dehydrogenase (NADP+) [EC:
K05887	ydiB	quinate/shikimate dehydrogenase [EC:
K05889	pvadh	polyvinyl alcohol dehydrogenase (cytochrome) [EC:
K05894	OPR	12-oxophytodienoic acid reductase [EC:
K05895	cobK-cbiJ	precorrin-6A/cobalt-precorrin-6A reductase [EC:
K05896	scpA	segregation and condensation protein A
K05898	kstD	3-oxosteroid 1-dehydrogenase [EC:
K05901	BLVRB	biliverdin reductase / flavin reductase [EC:
K05905	E1.8.1.8	protein-disulfide reductase [EC:
K05906	PCYOX1	prenylcysteine oxidase / farnesylcysteine lyase [EC:
K05907	APR	adenylyl-sulfate reductase (glutathione) [EC:
K05909	E1.10.3.2	laccase [EC:
K05910	npr	NADH peroxidase [EC:
K05913	E1.13.11.41	2,4'-dihydroxyacetophenone dioxygenase [EC:
K05914	E1.13.12.7	photinus-luciferin 4-monooxygenase (ATP-hydrolysing) [EC:
K05916	hmp, YHB1	nitric oxide dioxygenase [EC:
K05917	CYP51A1	sterol 14-demethylase [EC:
K05919	dfx	superoxide reductase [EC:
K05921	hpaG	5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase / 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase [EC:
K05922	hydB	quinone-reactive Ni/Fe-hydrogenase large subunit [EC:
K05925	METTL3 	mRNA (2'-O-methyladenosine-N6-)-methyltransferase [EC:
K05926	nhs	23S rRNA (adenosine1067-2'-O)-methyltransferase [EC:
K05927	hydA	quinone-reactive Ni/Fe-hydrogenase small subunit [EC:
K05928	E2.1.1.95	tocopherol O-methyltransferase [EC:
K05929	E2.1.1.103, NMT	phosphoethanolamine N-methyltransferase [EC:
K05931	CARM1	type I protein arginine methyltransferase [EC:
K05933	E1.14.17.4	aminocyclopropanecarboxylate oxidase [EC:
K05934	E2.1.1.131, cobJ, cbiH	precorrin-3B C17-methyltransferase [EC:
K05936	cobM, cbiF	precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:
K05937	K05937	uncharacterized protein
K05939	aas	acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:
K05940	CROT	carnitine O-octanoyltransferase [EC:
K05941	E2.3.2.15	glutathione gamma-glutamylcysteinyltransferase [EC:
K05946	tagA, tarA	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase [EC:
K05947	E2.4.1.217	mannosyl-3-phosphoglycerate synthase [EC:
K05948	LFNG 	fringe [EC:
K05951	draT	NAD+---dinitrogen-reductase ADP-D-ribosyltransferase [EC:
K05952	K05952	uncharacterized protein
K05953	E2.5.1.43	nicotianamine synthase [EC:
K05954	FNTB	protein farnesyltransferase subunit beta [EC:
K05955	FNTA	protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha [EC:
K05956	RABGGTB	geranylgeranyl transferase type-2 subunit beta [EC:
K05957	stsC	L-glutamine:scyllo-inosose aminotransferase [EC:
K05960	E2.7.11.26	tau-protein kinase [EC:
K05961	dnk	deoxynucleoside kinase [EC:
K05962	E2.7.13.1	protein-histidine pros-kinase [EC:
K05964	citX	holo-ACP synthase [EC:
K05966	citG	triphosphoribosyl-dephospho-CoA synthase [EC:
K05967	K05967	uncharacterized protein
K05970	SIAE	sialate O-acetylesterase [EC:
K05972	AXE1	acetylxylan esterase [EC:
K05973	phaZ	poly(3-hydroxybutyrate) depolymerase [EC:
K05977	E3.13.1.3	2'-hydroxybiphenyl-2-sulfinate desulfinase [EC:
K05978	stpA	glucosylglycerol 3-phosphatase [EC:
K05979	comB	2-phosphosulfolactate phosphatase [EC:
K05982	E3.1.21.7, nfi	deoxyribonuclease V [EC:
K05984	cho	excinuclease Cho [EC:3.1.25.-]
K05985	rnmV	ribonuclease M5 [EC:
K05986	E3.1.30.1	nuclease S1 [EC:
K05988	dexA	dextranase [EC:
K05989	ramA	alpha-L-rhamnosidase [EC:
K05991	E3.2.1.123	endoglycosylceramidase [EC:
K05992	amyM	maltogenic alpha-amylase
K05994	E3.4.11.10	bacterial leucyl aminopeptidase [EC:
K05995	pepE	dipeptidase E [EC:
K05996	cpt	carboxypeptidase T [EC:
K05997	sufA	Fe-S cluster assembly protein SufA
K05998	E3.4.21.100	pseudomonalisin [EC:
K05999	E3.4.21.101	xanthomonalisin [EC:
K06000	E3.4.22.2	papain [EC:
K06001	trpB	tryptophan synthase beta chain [EC:
K06002	PGA5 	pepsin A [EC:
K06004	E3.4.23.18	aspergillopepsin I [EC:
K06005	SAP	candidapepsin [EC:
K06006	cpxP	periplasmic protein CpxP
K06007	PFAPG	plasmepsin I [EC:
K06008	PFAPD	plasmepsin II [EC:
K06009	YPS1_2	yapsin 1/2 [EC:
K06011	boNT	botulinum neurotoxin [EC:
K06012	gpr	spore protease [EC:
K06013	ZMPSTE24	STE24 endopeptidase [EC:
K06015	E3.5.1.81	N-acyl-D-amino-acid deacylase [EC:
K06016	pydC	beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:
K06018	PPN1	endopolyphosphatase [EC:
K06019	ppaX	pyrophosphatase PpaX [EC:
K06020	E3.6.3.25	sulfate-transporting ATPase [EC:
K06021	E3.6.3.27	phosphate-transporting ATPase [EC:
K06022	E3.6.3.29	molybdate-transporting ATPase [EC:
K06023	hprK, ptsK	HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]
K06024	scpB	segregation and condensation protein B
K06027	NSF	vesicle-fusing ATPase [EC:
K06030	MFN2	mitofusin 2 [EC:3.6.5.-]
K06033	E4.1.1.76	arylmalonate decarboxylase [EC:
K06034	comD	sulfopyruvate decarboxylase subunit alpha [EC:
K06035	DDI2_3	cyanamide hydratase [EC:
K06038	E4.6.1.14	glycosylphosphatidylinositol diacylglycerol-lyase [EC:
K06039	ychN	uncharacterized protein involved in oxidation of intracellular sulfur
K06041	kdsD, kpsF	arabinose-5-phosphate isomerase [EC:
K06042	cobH-cbiC	precorrin-8X/cobalt-precorrin-8 methylmutase [EC:
K06044	treY, glgY	(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase [EC:
K06045	shc	squalene-hopene/tetraprenyl-beta-curcumene cyclase [EC:
K06046	luxE	long-chain-fatty-acid---luciferin-component ligase [EC:
K06047	TTL	tubulin---tyrosine ligase [EC:
K06048	ybdK	carboxylate-amine ligase [EC:6.3.-.-]
K06049	bchO	magnesium chelatase accessory protein
K06051	DLL3 	delta
K06052	JAG1 	jagged
K06053	RBPJL 	recombining binding protein suppressor of hairless
K06054	HES1	hairy and enhancer of split 1
K06055	HES5	hairy and enhancer of split 5
K06056	PTCRA	pre T-cell antigen receptor alpha
K06057	NUMB 	numb
K06058	DTX2 	deltex [EC:
K06059	ADAM17	disintegrin and metalloproteinase domain-containing protein 17 [EC:
K06060	PSENN	presenilin, other
K06061	MAML3 	mastermind
K06062	KAT2A 	histone acetyltransferase [EC:
K06063	SNW1	SNW domain-containing protein 1
K06064	HAIRLESS	hairless
K06065	NCOR2	nuclear receptor co-repressor 2
K06066	CIR1	CBF1 interacting corepressor
K06067	HDAC1 	histone deacetylase 1/2 [EC:
K06068	PRKCD	novel protein kinase C delta type [EC:
K06069	PRKCI	atypical protein kinase C iota type [EC:
K06070	PRKD3 	protein kinase D [EC:
K06071	PKN3 	protein kinase N [EC:
K06072	DOHH	deoxyhypusine monooxygenase [EC:
K06073	ABC.VB12.P, btuC	vitamin B12 transport system permease protein
K06074	ABC.VB12.A, btuD	vitamin B12 transport system ATP-binding protein [EC:
K06075	slyA	MarR family transcriptional regulator, transcriptional regulator for hemolysin
K06076	fadL	long-chain fatty acid transport protein
K06077	slyB	outer membrane lipoprotein SlyB
